replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth
0,always_small,correct,known,ipw,0.0625477945370106,0.04001895029861852,-0.015889348048281696,0.14098493712230292,0.3077266793681609
0,always_small,correct,known,gcomp,0.2800309094235763,,,,0.3077266793681609
0,always_small,correct,known,dr,0.014752292756627658,0.15179303422393203,-0.28276205432227913,0.31226663983553443,0.3077266793681609
0,failure_escalation,correct,known,ipw,0.24473399051606065,0.06072582215192178,0.12571137909829397,0.3637566019338273,0.3664395685723932
0,failure_escalation,correct,known,gcomp,0.3314974231592725,,,,0.3664395685723932
0,failure_escalation,correct,known,dr,0.22634066863185603,0.05067816878465822,0.12701145781392592,0.32566987944978615,0.3664395685723932
0,soft_escalation,correct,known,ipw,0.28130070035767435,0.03427662068270779,0.21411852381956709,0.3484828768957816,0.3617162173344457
0,soft_escalation,correct,known,gcomp,0.3299074360641193,,,,0.3617162173344457
0,soft_escalation,correct,known,dr,0.26793071762612425,0.029410242644813532,0.21028664204228972,0.32557479320995875,0.3617162173344457
1,always_small,correct,known,ipw,0.2719276392003826,0.13908610972480848,-0.0006811358602419881,0.5445364142610072,0.3077266793681609
1,always_small,correct,known,gcomp,0.342692793225742,,,,0.3077266793681609
1,always_small,correct,known,dr,0.3655527227494699,0.10170120526554931,0.1662183604289933,0.5648870850699466,0.3077266793681609
1,failure_escalation,correct,known,ipw,0.5236759057705599,0.10424410150131315,0.31935746682798616,0.7279943447131336,0.3664395685723932
1,failure_escalation,correct,known,gcomp,0.3565822809116612,,,,0.3664395685723932
1,failure_escalation,correct,known,dr,0.47594936592367804,0.06727951259149868,0.34408152124434066,0.6078172106030154,0.3664395685723932
1,soft_escalation,correct,known,ipw,0.4538636580734662,0.05655587075266303,0.34301415139824665,0.5647131647486857,0.3617162173344457
1,soft_escalation,correct,known,gcomp,0.35625317077150614,,,,0.3617162173344457
1,soft_escalation,correct,known,dr,0.42467878604615894,0.03806811024627296,0.3500652899634639,0.49929228212885396,0.3617162173344457
2,always_small,correct,known,ipw,0.2943343326325466,0.14703975980622158,0.0061364034123523314,0.5825322618527409,0.3077266793681609
2,always_small,correct,known,gcomp,0.3006978909198084,,,,0.3077266793681609
2,always_small,correct,known,dr,0.39810579742469016,0.08241442393791923,0.23657352650636848,0.5596380683430118,0.3077266793681609
2,failure_escalation,correct,known,ipw,0.3968936130596788,0.07936653808103956,0.24133519842084125,0.5524520276985163,0.3664395685723932
2,failure_escalation,correct,known,gcomp,0.36512348138838585,,,,0.3664395685723932
2,failure_escalation,correct,known,dr,0.36393934245745807,0.05359684210680681,0.2588895319281167,0.46898915298679944,0.3664395685723932
2,soft_escalation,correct,known,ipw,0.36264394605716616,0.04333158050904106,0.2777140482594457,0.44757384385488663,0.3617162173344457
2,soft_escalation,correct,known,gcomp,0.35868915239606625,,,,0.3617162173344457
2,soft_escalation,correct,known,dr,0.3649353487137818,0.030475472419342415,0.3052034227718707,0.42466727465569293,0.3617162173344457
3,always_small,correct,known,ipw,0.14235711388395508,0.08058484540541595,-0.015589183110660182,0.3003034108785704,0.3077266793681609
3,always_small,correct,known,gcomp,0.26709970275888617,,,,0.3077266793681609
3,always_small,correct,known,dr,0.27248269812830117,0.11403261614124977,0.048978770491451634,0.49598662576515073,0.3077266793681609
3,failure_escalation,correct,known,ipw,0.38154629955579683,0.0715035688698249,0.24139930457094003,0.5216932945406536,0.3664395685723932
3,failure_escalation,correct,known,gcomp,0.38120936070850153,,,,0.3664395685723932
3,failure_escalation,correct,known,dr,0.4130994248781343,0.04986286562980944,0.31536820824370776,0.5108306415125607,0.3664395685723932
3,soft_escalation,correct,known,ipw,0.3829477880663769,0.03944338844585401,0.3056387467125031,0.46025682942025076,0.3617162173344457
3,soft_escalation,correct,known,gcomp,0.37100319249244906,,,,0.3617162173344457
3,soft_escalation,correct,known,dr,0.38533327019949015,0.02885557314993545,0.3287763468256167,0.4418901935733636,0.3617162173344457
4,always_small,correct,known,ipw,0.08863281627724014,0.04102744982606569,0.008219014618151388,0.16904661793632889,0.3077266793681609
4,always_small,correct,known,gcomp,0.25716781479392803,,,,0.3077266793681609
4,always_small,correct,known,dr,0.26268266159773607,0.024129073191463776,0.21538967814246707,0.30997564505300507,0.3077266793681609
4,failure_escalation,correct,known,ipw,0.2956075924876326,0.06765963005525433,0.1629947175793341,0.42822046739593106,0.3664395685723932
4,failure_escalation,correct,known,gcomp,0.34485342354563703,,,,0.3664395685723932
4,failure_escalation,correct,known,dr,0.30141645495161035,0.05079505871034933,0.20185813987932566,0.40097477002389503,0.3664395685723932
4,soft_escalation,correct,known,ipw,0.2921766462688785,0.037351088811360914,0.21896851219861113,0.3653847803391459,0.3617162173344457
4,soft_escalation,correct,known,gcomp,0.33851274032235396,,,,0.3617162173344457
4,soft_escalation,correct,known,dr,0.30232028938938177,0.02935153499645295,0.244791280796334,0.35984929798242954,0.3617162173344457
