outcome,contrast,live,live_se,live_lower,live_upper,ope,ope_lower_bonferroni,ope_upper_bonferroni,sign_agrees,improvement_claimed
utility,always_large - always_small,0.08206060606060606,0.02099248293902991,0.04091533950010744,0.12320587262110468,0.0920125644005075,0.030499505552115315,0.15352562324889968,True,True
utility,class_tailored - always_small,0.03627272727272727,0.01753291762033186,0.001908208736876825,0.07063724580857772,0.01483483726107471,-0.01967897590159873,0.049348650423748155,True,False
utility,escalate_after_first_failure - always_small,0.028909090909090905,0.017931359117386945,-0.006236372960987509,0.06405455477916933,0.028028018716402803,-0.016395732683997476,0.07245177011680308,True,False
utility,learned - always_small,0.07706060606060605,0.02019744547693273,0.0374736129258179,0.1166475991953942,0.10952397534087593,0.04702182349638201,0.17202612718536986,True,True
utility,soft_escalation_d2 - always_small,0.05075757575757576,0.019478524556804027,0.012579667626239868,0.08893548388891165,0.060100141291776946,0.022002300149892025,0.09819798243366187,True,True
success,always_large - always_small,0.10606060606060606,0.02064803466270445,0.06559045812170534,0.14653075399950677,0.11684306450578909,0.05632079862688284,0.17736533038469532,True,True
success,class_tailored - always_small,0.04090909090909091,0.01735417068715204,0.006894916362272914,0.07492326545590891,0.02027673909778736,-0.01420949812096053,0.05476297631653525,True,False
success,escalate_after_first_failure - always_small,0.03636363636363636,0.01771293728899455,0.0016462792772070495,0.07108099345006567,0.03598711554837708,-0.008275649177300073,0.08024988027405423,True,False
success,learned - always_small,0.09848484848484848,0.019912593941486267,0.0594561643595354,0.13751353261016155,0.13139526525710274,0.06950656074335741,0.19328396977084805,True,True
success,soft_escalation_d2 - always_small,0.06515151515151515,0.019278035408347806,0.027366565751153454,0.10293646455187686,0.0742898230629879,0.0364344308891154,0.11214521523686038,True,True
