replicate,policy,q_spec,behavior,method,estimate,se,lower,upper,truth
0,always_small,correct,known,ipw,0.20037224625530367,0.1416373065063768,-0.07723687449719482,0.47798136700780214,0.30739753138881404
0,always_small,correct,known,gcomp,0.28969714019288595,,,,0.30739753138881404
0,always_small,correct,known,dr,0.21860461332645037,0.10328884874283632,0.01615846979049118,0.42105075686240956,0.30739753138881404
0,failure_escalation,correct,known,ipw,0.5214198089294919,0.19813848742019644,0.1330683735859069,0.909771244273077,0.3104749715506988
0,failure_escalation,correct,known,gcomp,0.31828120232354573,,,,0.3104749715506988
0,failure_escalation,correct,known,dr,0.3706515770670809,0.1052943827251624,0.1642745869257626,0.5770285672083992,0.3104749715506988
0,soft_escalation,correct,known,ipw,0.4270880515841244,0.09031752690982099,0.25006569884087526,0.6041104043273735,0.304774171904326
0,soft_escalation,correct,known,gcomp,0.31105565013438713,,,,0.304774171904326
0,soft_escalation,correct,known,dr,0.34488020689303583,0.049945182743915136,0.24698764871496218,0.4427727650711095,0.304774171904326
1,always_small,correct,known,ipw,0.0,0.0,0.0,0.0,0.30739753138881404
1,always_small,correct,known,gcomp,0.319937086576108,,,,0.30739753138881404
1,always_small,correct,known,dr,0.30051234722048775,0.025069290053366076,0.2513765387158903,0.34964815572508523,0.30739753138881404
1,failure_escalation,correct,known,ipw,0.4803406787528126,0.26898424273521243,-0.046868437008203756,1.007549794513829,0.3104749715506988
1,failure_escalation,correct,known,gcomp,0.30740651248839324,,,,0.3104749715506988
1,failure_escalation,correct,known,dr,0.456806862956162,0.17554894838809637,0.11273092411549313,0.8008828017968309,0.3104749715506988
1,soft_escalation,correct,known,ipw,0.3862571704493776,0.11983887587683092,0.15137297373078898,0.6211413671679662,0.304774171904326
1,soft_escalation,correct,known,gcomp,0.30283484109979697,,,,0.304774171904326
1,soft_escalation,correct,known,dr,0.36944161887920623,0.07762265071375231,0.21730122348025172,0.5215820142781608,0.304774171904326
2,always_small,correct,known,ipw,0.0,0.0,0.0,0.0,0.30739753138881404
2,always_small,correct,known,gcomp,0.2904043268112786,,,,0.30739753138881404
2,always_small,correct,known,dr,0.37872000228740793,0.05894416788775473,0.2631894332274087,0.4942505713474072,0.30739753138881404
2,failure_escalation,correct,known,ipw,0.3694972701509931,0.15683431872742468,0.06210200544524075,0.6768925348567454,0.3104749715506988
2,failure_escalation,correct,known,gcomp,0.2971227744684537,,,,0.3104749715506988
2,failure_escalation,correct,known,dr,0.28389746948838557,0.09341441759739161,0.10080521099749801,0.46698972797927313,0.3104749715506988
2,soft_escalation,correct,known,ipw,0.3333525357245225,0.0731172271652403,0.19004277048065152,0.47666230096839346,0.304774171904326
2,soft_escalation,correct,known,gcomp,0.29302519048178016,,,,0.304774171904326
2,soft_escalation,correct,known,dr,0.305042804412672,0.04542627033295894,0.2160073145600725,0.3940782942652715,0.304774171904326
3,always_small,correct,known,ipw,0.0,0.0,0.0,0.0,0.30739753138881404
3,always_small,correct,known,gcomp,0.2645090285586413,,,,0.30739753138881404
